"Total land, by region and States, United States, 1945-2012 1/",,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Regions and States,1945,1949,1954,1959,1964,1969,1974,1978,1982,1987,1992,1997,2002 ,2007 ,2012 ,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,
,-,-,-,-,-,"1,000 acres",-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,
  Delaware,"1,266 ","1,266 ","1,266 ","1,266 ","1,268 ","1,268 ","1,268 ","1,268 ","1,237 ","1,237 ","1,251 ","1,251 ","1,251 ","1,251 ","1,247 ",
  Maryland,"6,328 ","6,324 ","6,324 ","6,319 ","6,330 ","6,330 ","6,330 ","6,330 ","6,296 ","6,296 ","6,256 ","6,256 ","6,255 ","6,255 ","6,212 ",
  District of Columbia,39 ,39 ,39 ,39 ,39 ,39 ,39 ,39 ,40 ,40 ,39 ,39 ,39 ,39 ,39 ,
,,,,,,,,,,,,,,,,
Lake States,"122,718 ","122,711 ","122,711 ","122,709 ","121,966 ","121,965 ","121,965 ","121,965 ","122,195 ","122,195 ","122,073 ","122,073 ","122,063 ","122,063 ","121,807 ",
  Michigan,"36,494 ","36,494 ","36,494 ","36,492 ","36,364 ","36,363 ","36,363 ","36,363 ","36,451 ","36,451 ","36,358 ","36,358 ","36,355 ","36,355 ","36,185 ",
  Wisconsin,"35,018 ","35,011 ","35,011 ","35,011 ","34,857 ","34,857 ","34,857 ","34,857 ","34,833 ","34,833 ","34,761 ","34,761 ","34,758 ","34,758 ","34,661 ",
  Minnesota  ,"51,206 ","51,206 ","51,206 ","51,206 ","50,745 ","50,745 ","50,745 ","50,745 ","50,911 ","50,911 ","50,954 ","50,954 ","50,950 ","50,950 ","50,961 ",
,,,,,,,,,,,,,,,,
Corn Belt,"165,459 ","165,383 ","165,383 ","165,284 ","165,229 ","164,964 ","164,964 ","164,964 ","164,795 ","164,795 ","164,601 ","164,601 ","164,579 ","164,579 ","164,355 ",
  Ohio,"26,318 ","26,240 ","26,240 ","26,222 ","26,249 ","26,224 ","26,224 ","26,224 ","26,243 ","26,243 ","26,209 ","26,209 ","26,207 ","26,207 ","26,151 ",
  Indiana,"23,171 ","23,171 ","23,171 ","23,158 ","23,161 ","23,102 ","23,102 ","23,102 ","22,996 ","22,996 ","22,957 ","22,957 ","22,955 ","22,955 ","22,929 ",
  Illinois,"35,806 ","35,798 ","35,798 ","35,795 ","35,761 ","35,679 ","35,679 ","35,679 ","35,613 ","35,613 ","35,580 ","35,580 ","35,574 ","35,574 ","35,532 ",
  Iowa,"35,831 ","35,869 ","35,869 ","35,861 ","35,868 ","35,802 ","35,802 ","35,802 ","35,818 ","35,818 ","35,760 ","35,760 ","35,756 ","35,756 ","35,748 ",
  Missouri,"44,333 ","44,305 ","44,305 ","44,248 ","44,190 ","44,157 ","44,157 ","44,157 ","44,125 ","44,125 ","44,095 ","44,095 ","44,087 ","44,087 ","43,995 ",
,,,,,,,,,,,,,,,,
Northern Plains,"195,428 ","195,432 ","195,432 ","194,877 ","194,441 ","194,243 ","194,243 ","194,243 ","194,351 ","194,351 ","194,298 ","194,298 ","194,271 ","194,271 ","194,173 ",
  North Dakota,"44,835 ","44,836 ","44,836 ","44,452 ","44,339 ","44,339 ","44,339 ","44,339 ","44,352 ","44,352 ","44,156 ","44,156 ","44,145 ","44,145 ","44,161 ",
  South Dakota,"48,983 ","48,983 ","48,983 ","48,882 ","48,612 ","48,611 ","48,611 ","48,611 ","48,609 ","48,609 ","48,573 ","48,573 ","48,566 ","48,566 ","48,519 ",
  Nebraska,"49,058 ","49,064 ","49,064 ","49,032 ","48,974 ","48,949 ","48,949 ","48,949 ","49,052 ","49,052 ","49,202 ","49,202 ","49,198 ","49,198 ","49,167 ",
  Kansas,"52,552 ","52,549 ","52,549 ","52,511 ","52,516 ","52,344 ","52,344 ","52,344 ","52,338 ","52,338 ","52,367 ","52,367 ","52,362 ","52,362 ","52,326 ",
,,,,,,,,,,,,,,,,
Appalachian,"124,929 ","124,628 ","124,628 ","124,550 ","124,175 ","123,921 ","123,921 ","123,921 ","123,833 ","123,833 ","123,747 ","123,747 ","123,730 ","123,730 ","123,435 ",
  Virginia,"25,535 ","25,532 ","25,532 ","25,496 ","25,498 ","25,459 ","25,459 ","25,459 ","25,410 ","25,410 ","25,343 ","25,343 ","25,340 ","25,340 ","25,274 ",
  West Virginia,"15,418 ","15,411 ","15,411 ","15,411 ","15,414 ","15,405 ","15,405 ","15,405 ","15,436 ","15,436 ","15,415 ","15,415 ","15,410 ","15,410 ","15,384 ",
  North Carolina,"31,451 ","31,422 ","31,422 ","31,403 ","31,283 ","31,231 ","31,231 ","31,231 ","31,260 ","31,260 ","31,180 ","31,180 ","31,175 ","31,175 ","31,116 ",
  Kentucky,"25,670 ","25,513 ","25,513 ","25,512 ","25,505 ","25,376 ","25,376 ","25,376 ","25,388 ","25,388 ","25,429 ","25,429 ","25,426 ","25,426 ","25,271 ",
  Tennessee,"26,855 ","26,750 ","26,750 ","26,728 ","26,475 ","26,450 ","26,450 ","26,450 ","26,339 ","26,339 ","26,380 ","26,380 ","26,379 ","26,379 ","26,390 ",
,,,,,,,,,,,,,,,,
