FIPS,State,County,DIRSALES_FARMS12,PCT_LOCLFARM12,PCT_LOCLSALE12,DIRSALES12,PC_DIRSALES12,FMRKT18,FMRKTPTH18,FMRKT_SNAP18,PCT_FMRKT_SNAP18,FMRKT_WIC18,PCT_FMRKT_WIC18,FMRKT_WICCASH18,PCT_FMRKT_WICCASH18,FMRKT_SFMNP18,PCT_FMRKT_SFMNP18,FMRKT_CREDIT18,PCT_FMRKT_CREDIT18,FMRKT_FRVEG18,PCT_FMRKT_FRVEG18,FMRKT_ANMLPROD18,PCT_FMRKT_ANMLPROD18,FMRKT_BAKED18,PCT_FMRKT_BAKED18,FMRKT_OTHERFOOD18,PCT_FMRKT_OTHERFOOD18,VEG_FARMS12,VEG_ACRES12,VEG_ACRESPTH12,FRESHVEG_FARMS12,FRESHVEG_ACRES12,FRESHVEG_ACRESPTH12,ORCHARD_FARMS12,ORCHARD_ACRES12,ORCHARD_ACRESPTH12,BERRY_FARMS12,BERRY_ACRES12,BERRY_ACRESPTH12,SLHOUSE12,GHVEG_FARMS12,GHVEG_SQFT12,GHVEG_SQFTPTH12,FOODHUB18,CSA12,AGRITRSM_OPS12,AGRITRSM_RCT12,FARM_TO_SCHOOL15
37067,NC,Forsyth,113,17.0694864,3.330433702,536,1.497545534,7,0.018464833,1,14.28571415,1,14.28571415,0,0,0,0,5,71.42857361,5,71.42857361,5,71.42857361,5,71.42857361,5,71.42857361,65,266,0.776712049,61,235,0.656573135,21,77,0.215132474,35,76,0.212338546,0,6,10800,30.17442494,,12,21,1175000,0
37069,NC,Franklin,64,11.80811808,0.640750242,522,8.475952327,1,0.014801658,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,29,487,8.118728282,23,130,2.110869353,17,44,0.714448089,6,18,0.292274218,0,2,,,,24,12,139000,1
37071,NC,Gaston,63,12.11538462,1.642036125,280,1.345112677,5,0.022437019,0,0,1,20,0,0,0,0,3,60,3,60,3,60,3,60,3,60,33,88,0.667752365,33,,,11,39,0.18735498,6,,,0,2,,,,3,10,38000,1
37073,NC,Gates,8,4.395604396,0.014966251,10,0.839560071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45,,5,,,1,,,3,2,0.167912014,0,0,0,0,,0,4,,0
37075,NC,Graham,10,9.345794393,1.57987127,27,3.101665709,1,0.11786893,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,8,18,1.148765078,8,18,2.06777714,9,28,3.216542217,7,9,1.03388857,0,0,0,0,,0,10,170000,
37077,NC,Granville,54,9.168081494,0.613093935,140,2.422899865,3,0.04990435,0,0,0,0,0,0,0,0,1,33.33333206,1,33.33333206,1,33.33333206,1,33.33333206,1,33.33333206,35,206,7.649441002,35,,,19,47,0.813402098,26,28,0.484579973,0,1,,,,3,16,32000,1
37079,NC,Greene,14,5.384615385,0.095993459,263,12.29949025,1,0.047591854,1,100,0,0,0,0,0,0,1,100,1,100,1,100,0,0,1,100,19,,104.6158163,18,,,1,,,1,,,1,0,0,0,,0,7,27000,0
37081,NC,Guilford,93,9.667359667,0.895173622,521,1.039859968,4,0.007495269,3,75,2,50,1,25,2,50,3,75,3,75,3,75,3,75,3,75,52,278,0.758439132,51,,,43,78,0.155679611,43,79,0.157675504,3,7,10960,21.87498129,,12,38,685000,1
37083,NC,Halifax,24,7.038123167,0.101334497,130,2.410666271,1,0.019773006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1361,19.71183266,15,614,11.38576223,6,21,0.389415321,4,9,0.16689228,0,0,0,0,,0,18,86000,1
37085,NC,Harnett,66,8.281053952,0.233353831,444,3.632288096,3,0.022352362,0,0,0,0,0,0,0,0,0,0,1,33.33333206,0,0,1,33.33333206,1,33.33333206,55,1865,13.08114564,53,1535,12.55757258,14,30,0.245424871,24,79,0.646285495,1,4,24500,200.4303116,,5,24,659000,
37087,NC,Haywood,67,11.22278057,3.780530973,534,9.084568143,4,0.064546317,1,25,0,0,1,25,1,25,2,50,2,50,2,50,2,50,2,50,47,449,7.349313554,47,446,7.587485752,6,56,0.952688794,15,12,0.204147599,0,3,10200,173.5254589,,3,7,100000,1
37089,NC,Henderson,104,22.22222222,3.274526609,2025,18.73594804,4,0.03426183,1,25,0,0,0,0,0,0,2,50,2,50,3,75,2,50,2,50,74,1583,16.81146547,71,1563,14.46137619,106,4004,37.04628936,43,108,0.999250562,0,12,49244,455.621247,,9,18,507000,1
37091,NC,Hertford,10,6.172839506,0.030743585,45,1.844640295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,811,34.84320557,18,758,31.07194097,4,9,0.368928059,5,10,0.409920066,0,0,0,0,,0,5,20000,1
37093,NC,Hoke,7,3.465346535,0.007229612,7,0.138718243,1,0.018260172,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,,1.426816218,1,,,5,11,0.217985811,2,,,0,0,0,0,,0,6,,1
37095,NC,Hyde,5,3.164556962,0.040476422,54,9.419152276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4001,1129.251701,9,3441,600.2093145,7,7,1.221001221,4,7,1.221001221,0,0,0,0,,0,8,,1
37097,NC,Iredell,62,5.153782211,0.468878068,778,4.779633111,8,0.044834252,0,0,0,0,0,0,2,25,6,75,3,37.5,3,37.5,3,37.5,3,37.5,36,144,1.738606903,34,134,0.823227297,21,90,0.552913856,25,43,0.264169953,2,5,6160,37.8438817,,5,39,392000,1
37099,NC,Jackson,27,11.02040816,0.91374269,75,1.848884506,4,0.092321187,2,50,0,0,0,0,0,0,3,75,3,75,3,75,3,75,3,75,18,149,5.349439172,14,,,4,6,0.147910761,10,95,2.341920375,0,3,,,,7,12,452000,1
37101,NC,Johnston,99,8.425531915,0.31224192,828,4.736516944,3,0.014802023,0,0,0,0,0,0,0,0,2,66.66666412,2,66.66666412,2,66.66666412,2,66.66666412,2,66.66666412,122,13134,58.29691326,110,9930,56.80388074,32,202,1.155527081,16,27,0.154451639,4,6,105955,606.1082763,,11,10,191000,1
37103,NC,Jones,17,10,0.05388773,100,9.730466089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,60,,6,,,9,42,4.086795758,1,,,0,1,,,,2,6,16000,1
37105,NC,Lee,21,8.536585366,0.28203062,98,1.650804346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,81,2.459361577,18,81,1.364440327,19,33,0.555883096,16,37,0.623262865,0,2,,,,4,5,6000,0
37107,NC,Lenoir,18,4.488778055,,,,1,0.017864799,1,100,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,12,1269,18.15968347,9,1176,19.88434615,21,300,5.072537283,3,,,0,0,0,0,,2,3,1000,1
37109,NC,Lincoln,69,10.59907834,0.403811413,228,2.887428289,3,0.035812344,2,66.66666412,0,0,0,0,0,0,3,100,3,100,3,100,2,66.66666412,3,100,41,170,6.028139762,41,163,2.064257944,15,52,0.658536276,13,27,0.341932297,1,2,,,,10,15,110000,0
